year,month,app_name,cust_vol_mn,cust_val_cr,b2c_vol_mn,b2c_val_cr,b2b_vol_mn,b2b_val_cr,onus_vol_mn,onus_val_cr,total_vol_mn,total_val_cr,app_name_std
2022,8,Axis Bank Apps,7.39,1313.76,50.7,42.71,0.02,1.42,0.0,0.0,58.11,1357.89,Axis Bank
2022,8,Bajaj Finserv,2.45,178.59,0.0,0.0,0.0,0.0,0.0,0.0,2.45,178.59,Bajaj Finserv
2022,8,Bajaj Markets,0.02,1.58,0.0,0.0,0.0,0.0,0.0,0.0,0.02,1.58,Bajaj Markets
2022,8,Bandhan Bank Apps,0.01,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.01,1.25,Bandhan Bank Apps
2022,8,Bank of Baroda Apps,0.99,383.42,0.0,0.0,0.0,0.0,0.0,0.0,0.99,383.43,Bank of Baroda Apps
2022,8,Bank of India Apps,0.17,54.81,0.0,0.0,0.0,0.0,0.0,0.0,0.17,54.81,Bank of India Apps
2022,8,Bank of Maharashtra Apps,0.07,17.19,0.0,0.0,0.0,0.0,0.0,0.0,0.07,17.19,Bank of Maharashtra Apps
2022,8,BHIM,24.99,7860.48,0.0,0.0,0.0,0.0,0.0,0.0,24.99,7860.48,BHIM
2022,8,Canara Bank Apps,0.67,176.37,0.0,0.0,0.0,0.0,0.0,0.0,0.67,176.37,Canara Bank Apps
2022,8,Central Bank of India Apps,0.24,64.59,0.0,0.0,0.0,0.01,0.0,0.0,0.24,64.59,Central Bank of India Apps
2022,8,Citi Bank Apps,0.11,63.08,0.0,0.0,0.0,0.0,0.0,0.0,0.11,63.08,Citi Bank Apps
2022,8,City Union Bank Apps,0.04,11.45,0.0,0.0,0.0,0.0,0.0,0.0,0.04,11.45,City Union Bank Apps
2022,8,Cointab,0.06,24.98,0.0,0.0,0.0,0.0,0.0,0.0,0.06,24.98,Cointab
2022,8,Cred,14.81,19084.3,0.0,0.0,0.0,0.0,0.0,0.0,14.81,19084.3,CRED
2022,8,DBS Digibank Apps,0.48,178.76,0.0,0.0,0.0,0.0,0.0,0.0,0.48,178.76,DBS Digibank Apps
2022,8,Deutsche Bank Apps,1.98,119.21,0.0,0.0,0.0,0.01,0.0,0.0,1.98,119.21,Deutsche Bank Apps
2022,8,Dhanlaxmi Bank Apps,0.01,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.01,3.1,Dhanlaxmi Bank Apps
2022,8,Equitas Small Finance Bank Apps,0.01,4.94,0.0,0.0,0.0,0.0,0.0,0.0,0.01,4.94,Equitas Small Finance Bank Apps
2022,8,Fave,0.14,7.71,0.0,0.0,0.0,0.0,0.0,0.0,0.14,7.71,Fave
2022,8,Federal Bank Apps,3.8,520.2,0.0,0.0,0.0,0.0,0.0,0.0,3.8,520.2,Federal Bank Apps
2022,8,Fino Payments bank Apps,0.08,5.05,0.0,0.0,0.0,0.0,0.0,0.0,0.08,5.05,Fino Payments bank Apps
2022,8,GoIbibo,0.01,4.82,0.0,0.0,0.0,0.0,0.0,0.0,0.01,4.82,GoIbibo
2022,8,Google Pay,2212.73,371081.16,0.0,0.0,0.0,0.0,0.0,0.0,2212.73,371081.16,Google Pay
2022,8,Groww,0.8,490.93,0.0,0.0,0.0,0.0,0.0,0.0,0.8,490.93,Groww
2022,8,HDFC Bank Apps,9.83,2415.47,0.0,0.0,0.0,0.0,0.0,0.0,9.83,2415.47,HDFC Bank
2022,8,HSBC Bank Apps,0.11,65.7,0.0,0.44,0.0,0.0,0.0,0.0,0.11,66.14,HSBC Bank Apps
2022,8,ICICI Bank Apps,36.96,8334.98,4.96,406.52,3.68,1983.75,0.0,0.0,45.59,10725.25,ICICI Bank
2022,8,IDBI Bank Apps,0.04,20.31,0.0,0.0,0.0,0.0,0.0,0.0,0.04,20.31,IDBI Bank Apps
2022,8,IDFC Bank Apps,10.19,762.41,0.0,0.0,0.0,0.0,0.0,0.0,10.19,762.41,IDFC Bank Apps
2022,8,India Post Payments Bank Apps,4.3,504.41,0.0,0.0,0.0,0.0,0.0,0.0,4.3,504.41,India Post Payments Bank Apps
2022,8,Indian Bank Apps,0.22,63.1,0.0,0.0,0.0,0.23,0.0,0.0,0.22,63.33,Indian Bank Apps
2022,8,Indian Overseas Bank Apps,0.01,4.66,0.0,0.0,0.0,0.0,0.0,0.0,0.01,4.66,Indian Overseas Bank Apps
2022,8,IndusInd Bank Apps,1.01,1605.56,0.0,0.0,0.0,0.0,0.0,0.0,1.01,1605.56,IndusInd Bank Apps
2022,8,Janata Sahakari Bank Apps,0.01,4.56,0.0,0.0,0.0,0.0,0.0,0.0,0.01,4.56,Janata Sahakari Bank Apps
2022,8,Jio Payments Bank Apps,1.85,113.28,0.0,0.0,0.0,0.0,0.0,0.0,1.85,113.28,Jio Payments Bank Apps
2022,8,Jupiter,2.03,249.2,0.0,0.0,0.0,0.0,0.0,0.0,2.03,249.2,Jupiter
2022,8,Karnataka Bank Apps,0.38,55.32,0.0,0.0,0.0,0.0,0.0,0.0,0.38,55.32,Karnataka Bank Apps
2022,8,Karur Vysya Bank Apps,0.04,16.54,0.0,0.0,0.0,0.0,0.0,0.0,0.04,16.54,Karur Vysya Bank Apps
2022,8,Kotak Mahindra Bank Apps,9.28,1939.14,0.0,0.0,0.0,0.0,0.0,0.0,9.28,1939.14,Kotak Mahindra Bank Apps
2022,8,MakeMyTrip,0.15,62.67,0.0,0.0,0.0,0.0,0.0,0.0,0.15,62.67,MakeMyTrip
2022,8,MI Pay,0.15,24.8,0.0,0.0,0.0,0.0,0.0,0.0,0.15,24.8,MI Pay
2022,8,Mobikwik,2.84,562.95,0.0,0.0,0.0,0.0,0.0,0.0,2.84,562.95,Mobikwik
2022,8,NSDL Payments Bank Apps,0.02,2.85,0.0,0.0,0.0,0.0,0.0,0.0,0.02,2.85,NSDL Payments Bank Apps
2022,8,Paytm Payments Bank App,871.86,96034.11,4.11,10.37,0.38,458.24,110.05,17714.37,986.39,114217.1,Paytm
